name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 5212,47331,Valid,CV3,181.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5214,47332,Valid,Martian (shergottite),50.7,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5215,47333,Valid,Eucrite,198.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5218,47336,Valid,Eucrite,76.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5219,47337,Valid,Martian (shergottite),60.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5220,47338,Valid,LL4-6,135.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5221,47339,Valid,LL6,90.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5222,47340,Valid,Howardite,60.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5234,49002,Valid,Eucrite-mmict,399.0,Found,2008,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5241,49007,Valid,H5,119.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5242,49008,Valid,LL6,609.0,Found,2007,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5388,49118,Valid,L3,161.0,Found,2008,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5258,49013,Valid,L4/5,728.0,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5260,49015,Valid,LL6,562.0,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5264,49019,Valid,H4/5,80.09999999999998,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5265,49020,Valid,H5,853.0,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5268,49023,Valid,LL6,197.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5270,49025,Valid,H4/5,71.4,Found,2006,0.0,0.0,"(0.0, 0.0)"
